PC1,PC2,digit
-1.3028725,-2.9325414,7
0.081348896,3.7473898,2
-3.7095912,1.6895884,1
4.838725,-0.44291276,0
0.7427528,-2.8022876,4
-4.0049486,1.9013436,1
-0.9987229,-2.164812,4
-1.2473476,-1.361764,9
1.0287597,-0.5572709,5
-0.12201595,-3.2817116,9
4.4145393,2.3967004,0
1.3112664,0.76220226,6
-0.6627476,-3.8954024,9
4.115375,-0.1294264,0
-3.4438858,1.5711374,1
0.43625903,1.5256023,5
0.6792178,-3.4694967,9
-0.065541744,-2.642312,7
0.30943608,1.3941944,3
-0.9486737,-2.5936956,4
-1.4289209,-1.8149081,9
0.657717,0.08247864,6
-0.36054325,-0.8151005,6
-0.24824238,0.43527406,5
-1.3774595,-1.8655797,4
7.407344,0.42460775,0
-1.0120798,-2.322228,7
0.88244605,-3.4550562,4
4.4236193,1.3921291,0
-3.0006943,0.60445476,1
-0.6992867,1.0281482,3
-2.9399772,0.057929143,1
-0.26431417,1.2214835,3
1.8440919,-1.0183423,4
-1.0800643,-1.0265611,7
1.6310005,1.6685908,2
-0.5478711,-2.7096033,7
-3.4101148,0.5226155,1
-0.37182546,3.1471114,2
-3.5678804,2.164095,1
-3.3993998,0.73860073,1
-1.6523454,-2.3964162,7
-1.6088077,-2.7331715,4
-1.9601753,1.5358158,2
-1.6724489,0.96850204,3
0.35161066,1.6015328,5
-1.8176298,-0.027108941,1
-1.8437513,-0.04875602,2
2.1859217,-4.0459905,4
0.8376107,-2.9307003,4
-0.033803463,0.8628227,6
1.7129622,1.3606974,3
0.5183418,-1.1508676,5
-0.05483532,0.82740897,5
0.8469007,0.21697375,6
2.5356426,0.5933226,0
2.258473,-3.3569198,4
-3.7687619,1.6452432,1
0.83397746,-4.1837378,9
-2.263717,-0.1189231,5
0.42736316,-2.0538335,7
1.1340251,-0.33229578,8
-1.574958,-1.3057722,9
-1.1984235,0.95695865,3
-0.34792137,-2.1465096,7
-2.2731636,-0.53470725,4
0.39246154,-0.19226015,6
-0.19330454,-2.7460022,4
0.24048233,1.8358423,3
2.684381,0.37117815,0
-0.237988,-2.6894956,7
6.9212294,2.033887,0
1.9604592,2.4554114,2
-1.4987035,0.58280575,9
-3.4830308,0.98542213,1
-2.6455772,-2.0096626,7
-0.9009621,2.5486374,3
-1.6803039,-1.3513933,2
-3.0786924,0.23531383,9
0.3125863,-2.709828,7
-0.5243232,-3.0152273,7
1.6343169,-0.7891041,6
1.2344351,1.7131462,2
-0.72591925,-3.300712,7
-0.21917939,-0.37218174,8
2.0401306,-3.0805492,4
-2.459282,-2.090289,7
1.0871878,0.24441323,3
1.3411145,-2.0588474,6
-3.9234416,2.2720122,1
0.88267493,2.5545135,3
-0.29642653,-0.2962953,6
-2.284682,-0.4137181,9
0.51123834,1.4533721,3
-2.677741,0.7988073,1
1.3675838,-2.594688,4
-2.5547972,-0.19163904,1
-2.145214,-0.18658417,7
1.3500767,0.49537867,6
0.758919,-3.351019,9
-0.6669102,-0.45831066,6
3.4173198,0.6316319,0
0.78370905,-1.1308217,5
1.0924964,-2.9494567,4
0.29850435,-1.1625893,9
-0.1598711,-3.6276598,9
2.7545176,1.6033741,2
-3.0580041,2.5837317,1
-0.32091498,-2.0855784,9
-0.4419036,-2.7764392,4
-0.14357543,2.2177544,8
-3.5139222,0.97843087,7
-1.7509091,1.1603274,3
-1.1722928,-3.3779917,9
-2.7348146,-1.3621898,7
-1.9206322,-1.6550889,4
-1.9760246,-1.9350307,4
0.519542,-2.6229672,4
-1.4132609,-2.6499033,9
1.2486176,-1.5442641,2
2.8059263,1.1074127,5
-0.3840747,-1.7337482,4
-2.0007312,-1.6408086,7
0.57172203,-0.62121856,6
-1.0900377,-2.6557398,7
-1.358787,-1.2092962,9
2.269709,1.4282914,0
0.25860906,-1.4558142,5
0.4394126,0.17005809,8
0.1018188,-0.27984083,5
2.0543709,-0.99881333,6
3.031423,0.43542475,6
3.2248282,2.1170444,5
0.047460794,-2.8751025,7
-0.3857665,0.36826858,8
-3.646194,1.9354576,1
2.9890532,0.8206765,0
-3.5749543,3.2513747,1
1.9932661,-1.0891726,6
-0.32236743,-3.2531848,4
-1.0805324,0.50995016,6
-0.9742842,-2.5861526,7
-1.2126627,-0.03781155,3
-3.72966,1.8620325,1
-1.5127071,-2.569775,7
-2.9290996,0.3065732,1
0.13131475,-0.82416534,8
2.5210605,0.049764037,2
2.9417844,1.27148,0
-1.612214,0.523654,2
0.62595415,-2.4696035,9
0.23100924,-0.80569124,9
-0.7918794,-1.1187298,5
0.51453495,1.286085,5
-3.4128275,0.21875963,1
0.67254186,-0.41199407,5
0.54900146,-2.122406,6
2.5320673,-0.24509282,0
